title,number of ratings
The Chronicles of Narnia: Prince Caspian,10
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",49
The Chronicles of Narnia: The Voyage of the Dawn Treader,4
The Chronicles of Riddick,20
The Chumscrubber,2
The Cider House Rules,39
The Circle,1
The Circus,4
The City of Lost Children,40
The City of Violence,1
The Civil War,3
The Claim,1
The Clan of the Cave Bear,5
The Class,4
The Client,70
The Clique,1
The Clock,1
The Closet,2
The Clowns,1
The Cobbler,1
The Coca-Cola Kid,1
The Cocoanuts,1
The Cold Light of Day,1
The Collection,1
The Color Purple,31
The Color of Money,17
The Color of Paradise,4
The Comancheros,1
The Commitments,21
The Company,2
The Company Men,1
The Company You Keep,1
The Competition,2
The Computer Wore Tennis Shoes,6
The Concorde... Airport '79,3
The Condemned,1
The Confessional,2
The Conformist,7
The Congress,2
The Conjuring,4
The Conjuring 2,2
The Conrad Boys,1
The Conspirator,1
The Constant Gardener,18
The Contender,17
The Conversation,23
"The Cook, the Thief, His Wife & Her Lover",19
The Cooler,7
The Core,3
The Corporation,8
The Corruptor,5
The Cotton Club,2
The Couch Trip,2
The Counselor,3
The Count of Monte Cristo,23
The Counterfeiters,5
The Country Girl,1
The Court Jester,5
The Courtship of Eddie's Father,1
The Cove,5
The Covenant,1
The Cowboy Way,2
The Craft,36
The Cranes Are Flying,2
The Crazies,6
The Crime of Padre Amaro,1
The Crimson Pirate,3
The Crimson Rivers,3
The Crocodile Hunter: Collision Course,3
The Croods,4
The Crossing Guard,10
The Crow,67
The Crow: City of Angels,11
The Crow: Salvation,2
The Crucible,13
The Cruise,1
The Crush,3
The Crying Game,50
The Cup,2
The Cure,4
The Curiosity of Chance,1
The Curious Case of Benjamin Button,30
The Curse of Frankenstein,2
The Curse of the Cat People,1
The Curse of the Jade Scorpion,2
The Curse of the Were-Rabbit,28
The Cutting Edge,11
The Cutting Edge: The Magic of Movie Editing,1
The D Train,1
The DUFF,1
The Da Vinci Code,35
The Dam Busters,1
The Damned United,2
The Dancer Upstairs,1
The Dangerous Lives of Altar Boys,3
The Danish Girl,1
The Darjeeling Limited,21
The Dark Crystal,28
The Dark Half,2
The Dark Knight,121
The Dark Knight Rises,48
The Darkest Hour,2
The Day After,1
The Day After Tomorrow,25
The Day That Lasted 21 Years,1
The Day of the Beast,2
The Day of the Dolphin,2
The Day of the Jackal,5
The Day of the Locust,1
The Day of the Triffids,1
The Day the Earth Stood Still,26
The Day the Sun Turned Cold,1
The Daytrippers,3
The Dead,2
The Dead Pool,1
The Dead Zone,20
The Debt,1
The Decameron,1
The Decline of Western Civilization,4
The Decline of Western Civilization Part II: The Metal Years,3
The Decline of the American Empire,3
The Deep End,5
The Deep End of the Ocean,8
The Deer Hunter,48
The Defender,1
The Defiant Ones,1
The Departed,84
The Descendants,5
The Descent,7
The Designated Mourner,1
The Desperate Hours,1
The Devil Rides Out,1
The Devil Wears Prada,21
The Devil and Daniel Johnston,4
The Devil and Max Devlin,4
The Devil's Advocate,60
The Devil's Backbone,4
The Devil's Chair,1
The Devil's Own,15
The Devil's Rain,1
The Devil's Rejects,3
The Devils,2
The Diary of Anne Frank,5
The Dictator,4
The Dilemma,2
The Dinner Game,5
The Dirty Dozen,35
The Disappearance of Eleanor Rigby: Her,1
The Disappearance of Haruhi Suzumiya,1
The Discreet Charm of the Bourgeoisie,9
The Dish,11
The Distinguished Gentleman,3
The Diving Bell and the Butterfly,5
The Dog,1
The Dogs of War,1
The Dolly Sisters,1
The Doom Generation,4
The Doors,36
The Double,1
The Double Life of Veronique,9
The Draughtsman's Contract,2
The Dream Team,4
The Dreamers,9
The Dreamlife of Angels,9
The Dress,1
The Dressmaker,1
The Driller Killer,1
The Drop,3
The Duellists,1
The Dukes of Hazzard,2
The Eagle,2
The Eagle Has Landed,1
The Earrings of Madame de...,2
The Earthling,1
The Edge,10
The Edge of Heaven,1
The Edukators,4
The Effect of Gamma Rays on Man-in-the-Moon Marigolds,5
The Electric Horseman,5
The Elementary Particles,1
The Elephant Man,28
The Emerald Forest,3
The Emperor and the Assassin,2
The Emperor's Club,1
The Emperor's New Clothes,1
The Emperor's New Groove,32
The Empire Strikes Back,234
The End,1
The End of Evangelion,2
The End of Summer,1
The End of Violence,1
The End of the Affair,10
The End of the Tour,1
The Endless Summer,10
The Endless Summer 2,6
The Endurance: Shackleton's Legendary Antarctic Expedition,3
The Enemy Below,1
The Enforcer,2
The English Patient,74
The English Teacher,1
The Englishman Who Went Up a Hill But Came Down a Mountain,33
The Enigma of Kaspar Hauser,4
The Equalizer,5
The Evening Star,4
The Evil Dead,24
The Evil That Men Do,1
The Exorcism of Emily Rose,2
The Exorcist,64
The Exorcist III,3
The Expendables,9
The Expendables 2,4
The Expendables 3,1
The Experiment,6
The Experts,1
The Exterminating Angel,4
The Eye,4
The Eyes of Tammy Faye,2
The Fabulous Baker Boys,9
The Face of an Angel,1
The Faculty,22
The Falcon and the Snowman,13
The Fall,11
The Fallen Idol,1
The Family,3
The Family Man,21
The Family Stone,1
The Fan,8
The Far Country,1
The Farmer's Daughter,2
The Fast and the Furious,41
The Fast and the Furious: Tokyo Drift,7
The Fault in Our Stars,6
The Favor,1
The Fearless Vampire Killers,4
The Fern Flower,1
The Fiendish Plot of Dr. Fu Manchu,3
The Fifth Element,118
The Fighter,11
The Fighting Seabees,2
The File on Thelma Jordon,1
The Filth and the Fury,3
The Final Destination,3
The Firemen's Ball,1
The Firm,110
The First Beautiful Thing,1
The First Day of the Rest of Your Life,1
The First Great Train Robbery,3
The First Nudie Musical,1
The First Time,2
The First Wives Club,26
The Fisher King,37
The Five Obstructions,2
The Five Senses,2
The Five-Year Engagement,2
The Flamingo Kid,10
The Flight of Dragons,1
The Flight of the Phoenix,3
The Flintstones,39
The Flintstones in Viva Rock Vegas,11
The Flower of My Secret,1
The Fluffer,1
The Fly,62
The Fly II,7
The Fog,6
The Fog of War,15
The Football Factory,1
The Forbidden Kingdom,3
The Forgotten,5
The Formula,1
The Forsaken,1
The Forsyte Saga,1
The Fortune Cookie,5
The Fountain,12
The Four,1
The Four Feathers,3
The Four Musketeers,2
The Four Seasons,1
The Fourth Kind,2
The Fox and the Hound,21
The French Connection,46
The French Lieutenant's Woman,4
The Freshman,6
The Frighteners,24
The Front,3
The Front Page,1
The Frozen Ground,1
The Fugitive,213
The Full Monty,64
The Funeral,3
The Funhouse,1
The Fury,3
The Future,1
The Gambler,2
The Game,76
The Game Plan,2
The Garbage Pail Kids Movie,2
The Garden of the Finzi-Continis,7
The Gate,3
The Gate of Heavenly Peace,2
The Gauntlet,2
The Gay Divorcee,11
The General,19
The General's Daughter,31
The Getaway,4
The Ghost & Mr. Chicken,2
The Ghost Writer,8
The Ghost and Mrs. Muir,12
The Ghost and the Darkness,21
The Ghost of Frankenstein,1
The Giant Mechanical Man,1
The Giant Spider Invasion,1
The Gift,12
The Gingerbread Man,4
The Girl Next Door,15
The Girl Who Kicked the Hornet's Nest,2
The Girl Who Leapt Through Time,6
The Girl Who Played with Fire,3
The Girl in the Café,2
The Girl on the Bridge,2
The Girl with the Dragon Tattoo,30
The Girlfriend Experience,1
The Giver,3
The Glass Bottom Boat,2
The Glass House,1
The Glass Key,1
The Glass Shield,1
The Gleaners & I,3
The Glenn Miller Story,3
The Glimmer Man,3
The Gnome-Mobile,1
The Goat,1
The Godfather,200
The Godfather: Part II,135
The Godfather: Part III,35
The Gods Must Be Crazy,36
The Gods Must Be Crazy II,5
The Gold Rush,11
The Golden Child,18
The Golden Compass,5
The Golden Voyage of Sinbad,4
The Golem: How He Came Into the World,1
The Good Dinosaur,2
The Good Earth,1
The Good German,1
The Good Girl,12
The Good Mother,2
The Good Shepherd,6
The Good Son,3
The Good Thief,1
"The Good, The Bad, The Weird",1
"The Good, the Bad and the Ugly",57
The Goodbye Girl,14
"The Goods: Live Hard, Sell Hard",3
The Goonies,51
The Gospel According to Matthew,2
The Governess,2
The Graduate,89
The Grand,1
The Grand Budapest Hotel,35
The Grapes of Wrath,31
The Grass Harp,1
The Grass Is Greener,1
The Great Beauty,1
The Great Buck Howard,1
The Great Debaters,2
The Great Dictator,23
The Great Ecstasy of Woodcarver Steiner,2
The Great Escape,49
The Great Gatsby,6
The Great Mouse Detective,4
The Great Muppet Caper,10
The Great Outdoors,2
The Great Race,8
The Great Raid,1
The Great Rock 'n' Roll Swindle,1
The Great Santini,9
The Great White Hype,4
The Great Ziegfeld,2
The Greatest Game Ever Played,1
The Greatest Show on Earth,6
The Greatest Story Ever Told,2
The Green Berets,1
The Green Hornet,8
The Green Mile,103
The Green Ray,1
The Grey,2
The Grey Zone,2
The Grifters,40
The Groove Tube,1
The Group,1
The Grudge,13
The Grudge 2,1
The Grudge 3,1
The Guard,1
The Guardian,1
The Guest,3
The Guilt Trip,1
The Gun in Betty Lou's Handbag,1
The Guns of Navarone,13
The Guru,4
The Hand,1
The Hand that Rocks the Cradle,17
The Handmaid's Tale,3
The Hangover,44
The Hangover Part II,12
The Hangover Part III,4
The Happening,6
The Happiest Millionaire,1
The Hard Way,1
The Harder They Come,2
The Harder They Fall,1
The Harvest,1
The Harvey Girls,2
The Hateful Eight,8
The Haunted House,1
The Haunted Mansion,1
"The Haunted World of Edward D. Wood, Jr.",2
The Haunted World of El Superbeasto,1
The Haunting,24
The Heart Is a Lonely Hunter,1
The Heartbreak Kid,2
The Heat,3
The Heiress,1
The Help,15
The Hi-Lo Country,2
The Hidden,2
The Hidden Fortress,6
The High and the Mighty,1
The Hills Have Eyes,6
The Hills Have Eyes 2,1
The History Boys,3
The Hitch-Hiker,1
The Hitcher,1
The Hitchhiker's Guide to the Galaxy,34
The Hobbit,2
The Hobbit: An Unexpected Journey,25
The Hobbit: The Battle of the Five Armies,10
The Hobbit: The Desolation of Smaug,22
The Hole,1
The Holiday,13
The Hollywood Knights,1
The Holy Mountain,5
The Horse Whisperer,7
The Horseman on the Roof,3
The Hospital,1
The Host,5
The Hot Chick,5
The Hot Spot,1
The Hotel New Hampshire,1
The Hound of the Baskervilles,2
The Hours,15
The House Bunny,1
The House I Live In,1
The House by the Cemetery,1
The House of Mirth,4
The House of Yes,9
The House of the Devil,1
The House of the Spirits,8
The House with Laughing Windows,1
The Howling,8
The Hudsucker Proxy,49
The Human Centipede (First Sequence),2
The Human Centipede 2 (Full Sequence),2
The Human Centipede 3 (Final Sequence),1
The Human Condition I: No Greater Love,1
The Human Stain,2
The Hunchback of Notre Dame,51
The Hundred-Foot Journey,1
The Hunger,3
The Hunger Games,38
The Hunger Games: Catching Fire,26
The Hunger Games: Mockingjay - Part 1,10
The Hunger Games: Mockingjay - Part 2,4
The Hunt,6
The Hunt for Red October,97
The Hunted,3
The Hunter,1
The Hunting Party,1
The Huntsman: Winter's War,2
The Hurricane,22
The Hurt Locker,26
The Hustler,23
The Ice Harvest,2
The Ice Pirates,1
The Ice Storm,17
The Ides of March,9
The Idiots,7
The Illusionist,34
The Imaginarium of Doctor Parnassus,7
The Imitation Game,32
The Immature,1
The Immigrant,2
The Importance of Being Earnest,10
The Impossible,4
The Imposter,4
The Impostors,2
The In-Laws,3
The Inbetweeners 2,1
The Inbetweeners Movie,1
The Incredible Burt Wonderstone,1
The Incredible Hulk,17
The Incredible Journey,4
The Incredible Mr. Limpet,3
The Incredibles,126
The Incredibly True Adventure of Two Girls In Love,3
The Independent,1
The Indian in the Cupboard,32
The Informant!,9
The Inglorious Bastards,2
The Inheritance,1
The Inkwell,1
The Inn of the Sixth Happiness,1
The Innkeepers,2
The Innocents,2
The Insider,45
The Inspector General,2
The Intern,4
The International,3
The Internet's Own Boy: The Story of Aaron Swartz,1
The Internship,3
The Interpreter,14
The Interrupters,1
The Interview,7
The Intouchables,27
The Invasion,2
The Invention of Lying,7
The Invisible,1
The Invisible Circus,1
The Invisible Man,4
The Invitation,1
The Ipcress File,2
The Iron Giant,42
The Iron Lady,1
The Iron Mask,1
The Island,24
The Island of Dr. Moreau,26
The Italian Job,62
The Jackal,21
The Jacket,7
The James Dean Story,2
The Jane Austen Book Club,5
The January Man,1
The Jazz Singer,3
The Jerk,51
The Jerky Boys,5
The Jewel of the Nile,31
The Jinx: The Life and Deaths of Robert Durst,3
The Joneses,1
The Journey,1
The Journey of Natty Gann,6
The Joy Luck Club,21
The Judge,3
The Jungle Book,80
The Juror,26
The Karate Kid,42
"The Karate Kid, Part II",27
"The Karate Kid, Part III",19
The Kentuckian,1
The Kentucky Fried Movie,9
The Kid,10
The Kid Brother,1
The Kid Stays in the Picture,5
The Kid with a Bike,1
The Kids Are All Right,6
The Killer,14
The Killer Shrews,1
The Killers,5
The Killing,11
The Killing Fields,35
The Killing of a Chinese Bookie,1
The King Is Alive,1
The King and I,23
The King of Comedy,10
The King of Kong,9
The King of Marvin Gardens,2
The King of Masks,2
The King's Speech,40
The Kingdom,7
The Kings of Summer,3
The Kite Runner,2
The Knot,1
The Krays,1
The Ladies Man,4
The Lady Eve,10
The Lady Vanishes,14
The Lady and the Duke,2
The Lady from Shanghai,1
The Ladykillers,11
The Lair of the White Worm,2
The Lake House,4
The Land Before Time,5
The Land Before Time III: The Time of the Great Giving,3
The Landlord,1
The Last Airbender,2
The Last American Virgin,1
The Last Boy Scout,6
The Last Brickmaker in America,1
The Last Castle,5
The Last Circus,1
The Last Days,2
The Last Days of Disco,9
The Last Days of Emma Blank,1
The Last Detail,10
The Last Dragon,1
The Last Emperor,31
The Last House on the Left,2
The Last King of Scotland,15
The Last Kiss,1
The Last Laugh,1
The Last Metro,1
The Last Mimzy,1
The Last Picture Show,21
The Last Samurai,45
The Last Seduction,3
The Last Shot,1
The Last Song,1
The Last Starfighter,8
The Last Supper,9
The Last Temptation of Christ,13
The Last Time I Saw Paris,1
The Last Unicorn,4
The Last Waltz,6
The Last Wave,1
The Last Witch Hunter,1
The Last of England,1
The Last of the Mohicans,43
The Late Show,1
The Lavender Hill Mob,3
The Lawnmower Man,27
The League of Extraordinary Gentlemen,20
The Legend I,4
The Legend of 1900,2
The Legend of Bagger Vance,10
The Legend of Drunken Master,11
The Legend of Suriyothai,1
The Legend of Tarzan,2
The Legend of Zorro,4
The Lego Movie,13
The Leopard,2
The Letter,1
The Liability,1
The Librarian: Return to King Solomon's Mines,1
The Librarian: The Curse of the Judas Chalice,2
The Life Aquatic with Steve Zissou,29
The Life and Death of Colonel Blimp,1
The Life and Death of Peter Sellers,2
The Life and Times of Hank Greenberg,4
The Life of David Gale,6
The Life of Emile Zola,1
The Lifeguard,1
The Limey,17
The Limits of Control,2
The Lincoln Lawyer,10
The Lion King,200
The Lion King 2: Simba's Pride,1
The Lion in Winter,9
The Little Colonel,1
The Little Foxes,2
The Little Girl Who Lives Down the Lane,2
The Little Mermaid,78
The Little Princess,8
The Little Rascals,14
The Little Shop of Horrors,14
The Littlest Rebel,1
The Lives of Others,37
The Living Daylights,5
The Lizzie McGuire Movie,1
The Lobster,2
The Lodger: A Story of the London Fog,1
The Loft,1
The Lone Ranger,3
The Long Good Friday,1
The Long Goodbye,3
The Long Kiss Goodnight,30
The Long Riders,1
The Long Walk Home,4
"The Long, Hot Summer",5
The Longest Day,11
The Longest Week,1
The Longest Yard,9
The Look of Silence,2
The Lookout,2
"The Looney, Looney, Looney Bugs Bunny Movie",1
The Lorax,2
The Lord of the Rings,19
The Lord of the Rings: The Fellowship of the Ring,200
The Lord of the Rings: The Return of the King,176
The Lord of the Rings: The Two Towers,188
The Lords of Flatbush,3
The Losers,4
The Loss of Sexual Innocence,1
The Lost Boys,20
The Lost Skeleton of Cadavra,2
The Lost Son,1
The Lost Weekend,7
The Lost World,3
The Lost World: Jurassic Park,67
The Love Bug,17
The Love Guru,2
The Love Letter,4
The Loved Ones,2
The Lovely Bones,4
The Lover,2
The Lovers and the Despot,1
The Lucky One,1
The Machine,1
The Machinist,19
The Madness of King George,39
The Magdalene Sisters,6
The Magic Flute,2
The Magnificent Ambersons,5
The Magnificent Seven,14
The Maid's Room,1
The Main Event,1
The Majestic,10
The Major and the Minor,1
The Making of '...And God Spoke',1
The Making of a Legend: Gone with the Wind,1
The Maltese Falcon,77
The Mambo Kings,1
The Man,1
The Man I Love,1
The Man Who Came to Dinner,1
The Man Who Fell to Earth,5
The Man Who Knew Too Little,12
The Man Who Knew Too Much,10
The Man Who Shot Liberty Valance,11
The Man Who Wasn't There,20
The Man Who Would Be King,15
The Man Without a Past,4
The Man from Earth,6
The Man from Nowhere,1
The Man from Snowy River,5
The Man from U.N.C.L.E.,7
The Man in the Iron Mask,22
The Man in the Moon,5
The Man in the White Suit,1
The Man with One Red Shoe,1
The Man with Two Brains,13
The Man with the Golden Arm,5
The Man with the Golden Gun,18
The Man without a Face,21
The Manchurian Candidate,62
The Mangler,1
The Manson Family,1
The Marine,1
The Mark of Zorro,5
The Marriage of Maria Braun,2
The Marrying Man,2
The Martian,25
The Mask,157
The Mask of Zorro,55
The Masque of the Red Death,3
The Master,4
The Master of Disguise,1
The Matador,4
The Match Factory Girl,1
The Matchmaker,5
The Mating Habits of the Earthbound Human,1
The Matrix,259
The Matrix Reloaded,82
The Matrix Revolutions,54
The Maze Runner,7
The Meaning of Life,37
The Mechanic,1
The Medallion,3
The Member of the Wedding,1
The Men,1
The Men Next Door,1
The Men Who Stare at Goats,8
The Merchant of Venice,2
The Messenger,1
The Messenger: The Story of Joan of Arc,10
The Meteor Man,1
The Mexican,30
The Mighty,5
The Mighty Ducks,22
The Milagro Beanfield War,2
The Million Dollar Duck,2
The Million Dollar Hotel,2
The Minus Man,3
The Miracle Worker,3
The Mirror Crack'd,3
The Mirror Has Two Faces,13
The Misfits,1
The Missing,1
The Mission,10
The Missouri Breaks,1
The Mist,8
The Mod Squad,6
The Moderns,1
The Money Pit,22
The Monster Club,1
The Monster Squad,3
The Monuments Men,3
The Morning After,5
The Mortal Instruments: City of Bones,1
The Mosquito Coast,18
The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,1
The Mother and the Whore,1
The Mothman Prophecies,7
The Motorcycle Diaries,26
The Mouse That Roared,4
The Mummy,85
The Mummy Returns,32
The Mummy's Curse,2
The Mummy's Ghost,1
The Mummy's Hand,1
The Mummy's Tomb,1
The Mummy: Tomb of the Dragon Emperor,3
The Muppet Christmas Carol,14
The Muppet Movie,35
The Muppets,3
The Muppets Take Manhattan,11
The Muse,11
The Music Man,6
The Musketeer,3
The Myth Of Fingerprints,2
The Myth of the American Sleepover,1
The Naked Gun 2½: The Smell of Fear,27
The Naked Gun 33⅓: The Final Insult,67
The Naked Gun: From the Files of Police Squad!,35
The Name of the Rose,23
The Namesake,4
The Nanny Diaries,1
The Narrow Margin,2
The Natural,35
The Navigator,1
The Navigator: A Medieval Odyssey,3
The Negotiator,33
The Net,102
The NeverEnding Story,38
The Neverending Story II: The Next Chapter,9
The Neverending Story III: Escape from Fantasia,10
The New Adventures of Pippi Longstocking,1
The New Daughter,1
The New Guy,1
The New World,4
The New York Ripper,1
The Newton Boys,3
The Next Best Thing,3
The Next Karate Kid,16
The Next Three Days,3
The Nice Guys,2
The Night Before,1
The Night Flier,1
The Night Listener,1
The Night Porter,1
The Night of the Generals,1
The Night of the Hunter,10
The Night of the Iguana,3
The Night of the Shooting Stars,1
The Nightmare Before Christmas,90
The Nine Lives of Fritz the Cat,1
The Ninth Configuration,1
The Ninth Gate,12
The Nomi Song,1
The Normal Heart,3
The Northerners,1
The Notebook,33
The Number 23,5
The Nutty Professor,86
The Object of My Affection,9
The Odd Couple,21
The Odd Couple II,3
The Official Story,3
The Oh in Ohio,1
The Old Man and the Sea,8
The Omega Man,7
The Omen,26
The One,10
The One I Love,3
"The One and Only, Genuine, Original Family Band",1
The Onion Field,1
The Onion Movie,2
The Opportunists,1
The Opposite Sex,1
The Opposite of Sex,24
The Order,1
The Original Kings of Comedy,6
The Orphanage,4
The Other Boleyn Girl,4
The Other Guys,7
The Other Shore,1
The Other Sister,4
The Other Woman,2
The Others,49
The Out of Towners,1
The Out-of-Towners,11
The Outlaw Josey Wales,13
The Outsiders,23
The Overnight,1
The Owl and the Pussycat,2
The Pacific,1
The Pacifier,2
The Package,1
The Pagemaster,9
The Painted Veil,4
The Pajama Game,2
The Paleface,2
The Pallbearer,6
The Palm Beach Story,4
The Paper,20
The Paper Chase,7
The Paperboy,1
The Paradine Case,2
The Parallax View,3
The Parent Trap,39
The Party,1
The Passenger,1
The Passion of Joan of Arc,5
The Passion of the Christ,12
The Past,1
The Patience Stone,1
The Patriot,65
The Pawnbroker,5
The Peacemaker,14
The Peanuts Movie,2
The Pelican Brief,25
The People vs. Larry Flynt,33
The Perez Family,3
The Perfect Guy,1
The Perfect Host,1
The Perfect Score,1
The Perfect Storm,53
The Perils of Pauline,1
The Perks of Being a Wallflower,14
The Pervert's Guide to Cinema,1
The Pervert's Guide to Ideology,1
The Pest,2
The Petrified Forest,1
The Phantom,18
The Phantom Tollbooth,1
The Phantom of Liberty,2
The Phantom of the Opera,11
The Philadelphia Experiment,1
The Philadelphia Story,37
The Pianist,61
The Piano,78
The Piano Teacher,7
The Pick-up Artist,1
The Picture of Dorian Gray,2
The Pillow Book,6
The Pink Panther,19
The Pink Panther 2,1
The Pink Panther Strikes Again,8
The Pirate Bay: Away From Keyboard,2
The Pirate Movie,1
The Pirates! In an Adventure with Scientists!,3
The Pit and the Pendulum,3
The Place Beyond the Pines,5
The Plague Dogs,1
The Plague of the Zombies,1
The Play House,1
The Player,44
The Pledge,11
The Polar Express,7
The Pompatus of Love,2
The Pope of Greenwich Village,3
The Portrait of a Lady,1
The Poseidon Adventure,28
The Positively True Adventures of the Alleged Texas Cheerleader Murdering Mom,1
The Possession,1
The Possession of Michael King,1
The Postman,52
The Postman Always Rings Twice,13
The Poughkeepsie Tapes,1
The Power of Nightmares,2
The Power of One,2
The Powerpuff Girls Movie,4
The Preacher's Wife,7
The Presidio,4
The Prestige,52
The Pride of the Yankees,2
The Prime of Miss Jean Brodie,4
The Prince & Me,3
The Prince and the Showgirl,1
The Prince of Egypt,35
The Prince of Tides,14
The Princess Bride,163
The Princess Diaries,18
The Princess Diaries 2: Royal Engagement,8
The Princess and the Frog,5
The Princess and the Warrior,3
The Principal,1
The Private Eyes,1
The Private Life of Henry VIII,1
"The Prize Winner of Defiance, Ohio",1
The Producers,36
The Professional,22
The Program,3
The Promise,2
The Prophecy,16
The Prophecy II,1
The Proposal,6
The Proposition,3
The Protector,2
The Public Enemy,4
The Pumaman,2
The Punisher,8
The Puppet Masters,2
The Purge: Anarchy,2
The Purge: Election Year,1
The Purple Rose of Cairo,21
The Pursuit of Happyness,24
The Queen,5
The Queen of Versailles,1
The Quest,6
The Quick and the Dead,24
The Quiet American,10
The Quiet Earth,2
The Quiet Man,13
The Rage: Carrie 2,4
The Raid,6
The Raid 2,3
The Raiders of Atlantis,1
The Railway Children,1
The Rainmaker,16
The Rape of Europa,1
The Rapture,3
The Raven,4
The Razor's Edge,4
The Reader,4
The Rebound,1
The Recruit,14
The Red Balloon,5
The Red Chapel,1
The Red Violin,22
The Ref,17
The Reflecting Skin,1
The Relic,5
The Reluctant Debutante,1
The Remains of the Day,46
The Replacement Killers,9
The Replacements,14
The Rescuers,14
The Rescuers Down Under,12
The Return,1
The Return of Jafar,13
The Return of Martin Guerre,10
The Return of Swamp Thing,2
The Return of the Living Dead,5
The Return of the Pink Panther,28
The Revenant,13
The Revolution Will Not Be Televised,3
The Rewrite,1
The Rich Man's Wife,2
The Ridiculous 6,1
The Right Stuff,45
The Ring,48
The Ring Two,3
The Ringer,2
The Rite,1
The River,1
The River Wild,47
The Road,4
The Road to El Dorado,6
The Road to Guantanamo,1
The Road to Wellville,11
The Robe,2
The Rock,135
The Rocketeer,32
The Rocky Horror Picture Show,63
The Rolling Stones: Gimme Shelter,3
The Romantics,1
The Rookie,5
The Room,1
The Rose,2
The Rose Tattoo,1
The Royal Tenenbaums,69
The Rugrats Movie,2
The Ruins,1
The Rules of Attraction,6
The Rules of the Game,5
The Ruling Class,5
The Rum Diary,1
The Run of the Country,1
The Runaways,1
The Rundown,4
The Runner,1
The Running Man,24
The Russia House,1
"The Russians Are Coming, The Russians Are Coming",3
The Sacrament,1
The Sacrifice,1
The Saddest Music in the World,1
The Saint,35
The Salvation,2
The Same River Twice,1
The Sand Pebbles,1
The Sandlot,21
The Santa Clause,70
The Santa Clause 3: The Escape Clause,1
The Savages,2
The Scarlet Letter,6
The Science of Sleep,9
The Score,18
The Scorpion King,11
The Scorpion King: Rise of a Warrior,1
The Scout,2
The Sea Inside,6
The Searchers,14
The Second Best Exotic Marigold Hotel,2
The Secret,1
The Secret Adventures of Tom Thumb,3
The Secret Agent,1
The Secret Garden,31
The Secret Life of Pets,2
The Secret Life of Walter Mitty,9
The Secret Life of Words,2
The Secret Lives of Dentists,3
The Secret Policeman's Other Ball,3
The Secret World of Arrietty,6
The Secret in Their Eyes,7
The Secret of NIMH,27
The Secret of Roan Inish,17
The Seduction of Joe Tynan,1
The Seeker: The Dark Is Rising,1
The Selfish Giant,1
The Sentinel,4
The Serpent and the Rainbow,1
The Servant,1
The Sessions,1
The Set-Up,1
The Seven Year Itch,6
The Seven-Per-Cent Solution,1
The Seventh Continent,2
The Seventh Seal,16
The Seventh Sign,8
The Seventh Victim,1
The Shadow,6
The Shaggy D.A.,4
The Shaggy Dog,10
The Shakiest Gun in the West,1
The Shallows,1
The Shape of Things,2
The Shawshank Redemption,311
The Sheltering Sky,3
The Shining,101
The Shipping News,4
The Shooter,1
The Shootist,2
The Shop Around the Corner,12
The Shop on Main Street,2
The Siege,16
The Silence of the Lambs,304
The Simpsons Movie,37
The Singing Detective,1
The Sisterhood of the Traveling Pants,4
The Sisterhood of the Traveling Pants 2,3
The Sitter,1
The Sixth Man,1
The Sixth Sense,193
The Skeleton Key,5
The Skeleton Twins,4
The Skin I Live In,2
The Skulls,11
The Slammin' Salmon,1
The Slaughter Rule,1
The Sleeping Car Murder,1
The Slipper and the Rose,1
The Slumber Party Massacre,1
The Smurfs,3
The Smurfs 2,1
The Snake Pit,1
The Snapper,1
The Snow Walker,1
The Snowman,1
The Snows of Kilimanjaro,1
The Social Network,43
The Soloist,1
The Son,2
The Son of the Sheik,1
The Son's Room,2
The Song of Bernadette,3
The Sons of Katie Elder,1
The Sorcerer's Apprentice,2
The Sorrow and the Pity,3
The Sound of Music,80
The Spanish Apartment,6
The Spanish Prisoner,23
The Specialist,44
The Specials,1
The Spectacular Now,2
The Spiderwick Chronicles,2
The Spiral Staircase,1
The Spirit,1
The Spirit of St. Louis,2
The Spitfire Grill,11
The SpongeBob SquarePants Movie,2
The Spy Next Door,2
The Spy Who Came in from the Cold,2
The Spy Who Loved Me,22
The Squid and the Whale,10
The Staircase,1
The Star Maker,1
The State of Things,1
The Statement,1
The Station Agent,13
The Stepfather,2
The Stepford Wives,24
The Sterile Cuckoo,1
The Sting,63
The Sting II,1
The Story of Adele H,1
The Story of Qiu Ju,1
The Story of Us,11
The Story of Xinghua,1
The Straight Story,19
The Strange Love of Martha Ivers,3
The Strangers,2
The Streetfighter,1
The String,1
The Stunt Man,2
The Stupids,2
The Substance of Fire,1
The Substitute,10
The Suburbans,1
The Sugarland Express,5
The Sum of All Fears,17
The Sum of Us,3
The Sunset Limited,1
The Super,1
The Superwife,1
The Sure Thing,2
The Survivors,3
The Swan Princess,7
The Sweet Hereafter,23
The Sweetest Thing,8
The Switch,2
The Sword in the Stone,26
The Sword of Doom,1
The Tailor of Panama,6
The Taking of Pelham 1 2 3,9
The Taking of Pelham One Two Three,3
The Tale of Despereaux,1
The Talented Mr. Ripley,66
The Talk of the Town,2
The Tall Blond Man with One Black Shoe,1
The Taming of the Shrew,4
The Tango Lesson,1
The Tao of Steve,12
The Taste of Others,1
